Days,RA,AF,AW,AR,LF,LW,LR,CF,CW,CR,RH1,RH2,D,CL,CS,GPP
428,,,,,,,,,,,,,,,,0.956194438
429,,,,,,,,,,,,,,,,0.222073325
430,,,,,,,,,,,,,,,,1.430283745
431,,,,,,,,,,,,,,,,1.307047653
432,,,,,,,,,,,,,,,,1.551810456
433,,,,,,,,,,,,,,,,1.307483134
434,,,,,,,,,,,,,,,,1.023406378
435,,,,,,,,,,,,,,,,1.344418868
436,,,,,,,,,,,,,,,,1.455414419
437,,,,,,,,,,,,,,,,1.689488333
438,,,,,,,,,,,,,,,,1.475376787
439,,,,,,,,,,,,,,,,1.414578839
440,,,,,,,,,,,,,,,,0.938035458
441,,,,,,,,,,,,,,,,0.92358088
442,,,,,,,,,,,,,,,,1.300343388
443,,,,,,,,,,,,,,,,1.391958473
444,,,,,,,,,,,,,,,,1.46469444
445,,,,,,,,,,,,,,,,1.573630641
446,,,,,,,,,,,,,,,,1.700316881
447,,,,,,,,,,,,,,,,1.874931654
448,,,,,,,,,,,,,,,,1.797869271
449,,,,,,,,,,,,,,,,1.533779059
450,,,,,,,,,,,,,,,,1.378975721
451,,,,,,,,,,,,,,,,1.012054357
452,,,,,,,,,,,,,,,,0.890599061
453,,,,,,,,,,,,,,,,1.378755318
454,,,,,,,,,,,,,,,,1.687927749
455,,,,,,,,,,,,,,,,1.401468174
456,,,,,,,,,,,,,,,,1.423473176
457,,,,,,,,,,,,,,,,1.239819911
458,,,,,,,,,,,,,,,,1.066523475
459,,,,,,-0.004770177,,,,,,,,,,1.231822117
460,,,,,,-0.03385219,,,,,,,,,,1.121301745
461,,,,,,,,,,,,,,,,1.462663066
462,,,,,,,,,,,,,,,,1.127802042
463,,,,,,,,,,,,,,,,1.127455835
464,,,,,,,,,,,,,,,,1.201990093
465,,,,,,,,,,,,,,,,1.420406969
466,,,,,,,,,,,,,,,,1.12796792
467,,,,,,,,,,,,,,,,0.926283235
468,,,,,,,,,,,,,,,,1.188922248
469,,,,,,,,,,,,,,,,1.258428961
470,,,,,,,,,,,,,,,,1.445471678
471,,,,,,,,,,,,,,,,1.791652389
472,,,,,,,,,,,,,,,,1.544842213
473,,,,,,,,,,,,,,,,1.641831741
474,,,,,,,,,,,,,,,,1.22021298
475,,,,,,,,,,,,,,,,1.29908822
476,,,,,,,,,,,,,,,,1.413745061
477,,,,,,,,,,,,,,,,1.721334251
478,,,,,,,,,,,,,,,,1.592034542
479,,,,,,,,,,,,,,,,1.826452564
480,,,,,,,,,,,,,,,,2.139941331
481,,,,,,,,,,,,,,,,2.233176076
482,,,,,,,,,,,,,,,,2.436076259
483,,,,,,,,,,,,,,,,2.066345678
484,,,,,,,,,,,,,,,,1.362050662
485,,,,,,,,,,,,,,,,1.711785901
486,,,,,,,,,,,,,,,,1.788111563
487,,,,,,,,,,,,,,,,1.348377679
488,,,,,,,,,,,,,,,,1.926706206
489,,,,,,,,,,,,,,,,2.079509403
490,,,,,,,,,,,,,,,,2.345823661
491,,,,,,,,,,,,,,,,1.846915106
492,,,,,,,,,,,,,,,,2.067208235
493,,,,,0.12482875,,,,,,,,,,,2.239994932
494,,,,,0.220556363,,,,,,,,,,,2.57719965
495,,,,,,,,,,,,,,,,2.558356327
